,id_registro,arco,longitud,latitud,carga
4453,4454,402-4418,-75.60603425649809,6.1569465541627375,4223.0
4454,4455,402-4418,-75.60599923619023,6.156882661189398,4223.0
4715,4716,428-4364,-75.57467421901626,6.175217619278805,14.0
4716,4717,428-4364,-75.57275383542685,6.173936398685359,14.0
4717,4718,428-4364,-75.57323393132421,6.174256703833719,14.0
4718,4719,428-4364,-75.57371402722157,6.174577008982083,14.0
4719,4720,428-4364,-75.5741941231189,6.174897314130443,14.0
4720,4721,428-814,-75.57093998568105,6.174686456044675,160.0
4721,4722,428-814,-75.57275383542685,6.173936398685359,160.0
4722,4723,428-814,-75.57230037299038,6.174123913025187,160.0
4723,4724,428-814,-75.57184691055394,6.1743114273650175,160.0
4724,4725,428-814,-75.5713934481175,6.174498941704846,160.0
4725,4726,428-815,-75.57460052039906,6.172370533801709,266.0
4726,4727,428-815,-75.57275383542685,6.173936398685359,266.0
4727,4728,428-815,-75.5732155066699,6.173544932464447,266.0
4728,4729,428-815,-75.57367717791296,6.1731534662435354,266.0
4729,4730,428-815,-75.57413884915601,6.172762000022622,266.0
4785,4786,435-4415,-75.6077068008446,6.1435943199921335,8.0
4786,4787,435-4415,-75.6045462749838,6.145995032526299,8.0
4787,4788,435-4415,-75.605336406449,6.145394854392757,8.0
4788,4789,435-4415,-75.6061265379142,6.144794676259218,8.0
4789,4790,435-4415,-75.60691666937939,6.144194498125676,8.0
4790,4791,436-4411,-75.60486212647373,6.136629974105445,14.0
4791,4792,436-4411,-75.60986015591992,6.137721164331382,14.0
4792,4793,436-4411,-75.60861064855838,6.1374483667748985,14.0
4793,4794,436-4411,-75.60736114119683,6.137175569218414,14.0
4794,4795,436-4411,-75.60611163383528,6.13690277166193,14.0
5730,5731,2001-4417,-75.631815512375,6.1528680765820445,1697.0
5731,5732,2001-4417,-75.63210590443356,6.151366338043304,1697.0
5732,5733,2001-4417,-75.63203330641893,6.151741772677988,1697.0
5733,5734,2001-4417,-75.63196070840428,6.152117207312673,1697.0
5734,5735,2001-4417,-75.63188811038964,6.152492641947359,1697.0
5735,5736,2001-7059,-75.63225377389841,6.151077451812997,148.0
5736,5737,2001-7059,-75.63210590443356,6.151366338043304,148.0
5737,5738,2001-7059,-75.63214287179976,6.151294116485728,148.0
5738,5739,2001-7059,-75.63217983916599,6.151221894928152,148.0
5739,5740,2001-7059,-75.6322168065322,6.151149673370575,148.0
5740,5741,2001-6317,-75.63219116521401,6.151205473636337,9.0
5741,5742,2001-6317,-75.63210590443356,6.151366338043304,9.0
5742,5743,2001-6317,-75.63212721962867,6.151326121941563,9.0
5743,5744,2001-6317,-75.63214853482378,6.1512859058398215,9.0
5744,5745,2001-6317,-75.6321698500189,6.151245689738079,9.0
5745,5746,2001-6317,-75.63228172080484,6.1510730703490415,9.0
5746,5747,2001-6317,-75.63219116521401,6.151205473636337,9.0
5747,5748,2001-6317,-75.6322138041117,6.1511723728145125,9.0
5748,5749,2001-6317,-75.63223644300942,6.1511392719926885,9.0
5749,5750,2001-6317,-75.63225908190714,6.1511061711708654,9.0
5750,5751,2001-6317,-75.6324468515882,6.1509883322278665,9.0
5751,5752,2001-6317,-75.63228172080484,6.1510730703490415,9.0
5752,5753,2001-6317,-75.63232300350069,6.151051885818747,9.0
5753,5754,2001-6317,-75.63236428619652,6.1510307012884535,9.0
5754,5755,2001-6317,-75.63240556889238,6.151009516758159,9.0
5755,5756,2001-6317,-75.63261730917102,6.150967147695463,9.0
5756,5757,2001-6317,-75.6324468515882,6.1509883322278665,9.0
5757,5758,2001-6317,-75.63248946598391,6.150983036094765,9.0
5758,5759,2001-6317,-75.63253208037959,6.1509777399616645,9.0
5759,5760,2001-6317,-75.63257469477531,6.150972443828564,9.0
5760,5761,2001-6317,-75.63283038114953,6.151051885820007,9.0
5761,5762,2001-6317,-75.63261730917102,6.150967147695463,9.0
5762,5763,2001-6317,-75.63267057716565,6.150988332226598,9.0
5763,5764,2001-6317,-75.6327238451603,6.151009516757735,9.0
5764,5765,2001-6317,-75.6327771131549,6.151030701288871,9.0
5765,5766,2001-6317,-75.63293159033933,6.151237250420393,9.0
5766,5767,2001-6317,-75.63283038114953,6.151051885820007,9.0
5767,5768,2001-6317,-75.63285568344699,6.151098226970104,9.0
5768,5769,2001-6317,-75.63288098574444,6.151144568120201,9.0
5769,5770,2001-6317,-75.63290628804188,6.151190909270296,9.0
5770,5771,2001-6317,-75.63293159033933,6.151438503341912,9.0
5771,5772,2001-6317,-75.63293159033933,6.151237250420393,9.0
5772,5773,2001-6317,-75.63293159033933,6.151287563650772,9.0
5773,5774,2001-6317,-75.63293159033933,6.151337876881152,9.0
5774,5775,2001-6317,-75.63293159033933,6.151388190111533,9.0
5775,5776,2001-6317,-75.63286234194629,6.1515656104109775,9.0
5776,5777,2001-6317,-75.63293159033933,6.151438503341912,9.0
5777,5778,2001-6317,-75.63291427824106,6.151470280109177,9.0
5778,5779,2001-6317,-75.63289696614282,6.151502056876444,9.0
5779,5780,2001-6317,-75.63287965404456,6.151533833643709,9.0
5780,5781,2001-6317,-75.63273982555866,6.151671532945322,9.0
5781,5782,2001-6317,-75.63286234194629,6.1515656104109775,9.0
5782,5783,2001-6317,-75.63283171284941,6.151592091044563,9.0
5783,5784,2001-6317,-75.63280108375248,6.151618571678148,9.0
5784,5785,2001-6317,-75.63277045465556,6.1516450523117365,9.0
5785,5786,2001-6317,-75.63247348558552,6.151772159333406,9.0
5786,5787,2001-6317,-75.63273982555866,6.151671532945322,9.0
5787,5788,2001-6317,-75.63267324056538,6.151696689542344,9.0
5788,5789,2001-6317,-75.63260665557209,6.151721846139365,9.0
5789,5790,2001-6317,-75.63254007057881,6.151747002736387,9.0
5790,5791,2001-6317,-75.6321751848156,6.151851601205269,9.0
5791,5792,2001-6317,-75.63247348558552,6.151772159333406,9.0
5792,5793,2001-6317,-75.63239891039305,6.1517920198013725,9.0
5793,5794,2001-6317,-75.63232433520056,6.151811880269338,9.0
5794,5795,2001-6317,-75.63224976000808,6.151831740737303,9.0
5795,5796,2001-6317,-75.63181296245213,6.151899266322693,9.0
5796,5797,2001-6317,-75.6321751848156,6.151851601205269,9.0
5797,5798,2001-6317,-75.63208462922472,6.1518635174846255,9.0
5798,5799,2001-6317,-75.63199407363386,6.151875433763981,9.0
5799,5800,2001-6317,-75.631903518043,6.151887350043338,9.0
5800,5801,2001-6317,-75.6315258731599,6.151936339190577,9.0
5801,5802,2001-6317,-75.63181296245213,6.151899266322693,9.0
5802,5803,2001-6317,-75.63174119012908,6.151908534539663,9.0
5803,5804,2001-6317,-75.63166941780601,6.151917802756635,9.0
5804,5805,2001-6317,-75.63159764548296,6.151927070973606,9.0
8890,8891,2010-3801,-75.58149883596606,6.3306258298389295,4066.0
8891,8892,2010-3801,-75.58181245755445,6.330597437641145,4066.0
